codprod,descricao,categoria,descricao_manual,updated_at
17072,6FR1Q S/AT JBL SELENIUM PAR DCR 2012/475,Caixa de som,JBL,2026-01-21T18:47:04.899376+00:00
17940,ABAJUR DE MESA ON-LT043,,,2026-01-21T18:47:04.899376+00:00
18577,ABRACADEIRA NYLON ENFORCAGATO BOM-5508,,,2026-01-21T18:47:04.899376+00:00
18578,ABRACADEIRA NYLON ENFORCAGATO BOM-5510,,,2026-01-21T18:47:04.899376+00:00
11141,"ABRACADEIRA NYLON M10 2,5MM X 100MM PRET",,,2026-01-21T18:47:04.899376+00:00
16420,ADAPTADOR CUBO COM FUSIVEL 6 TOMADAS,,,2026-01-21T18:47:04.899376+00:00
8150,ADAPTADOR HDMI M/F 90º  BANHADO DE OURO ,,,2026-01-21T18:47:04.899376+00:00
8183,ADAPTADOR HDMI PARA VGA AUDIO CABO P2?,,,2026-01-21T18:47:04.899376+00:00
13947,ADAPTADOR HDTV FEMEA X MINI MACHO,,,2026-01-21T18:47:04.899376+00:00
13948,ADAPTADOR HDTVMACHO X FEMEA 90 GRAU,,,2026-01-21T18:47:04.899376+00:00
18067,ADAPTADOR LIGHTNING X P2 KP-AD001,,,2026-01-21T18:47:04.899376+00:00
18756,ADAPTADOR LIGHTNING X P2 OR-CC06,,,2026-01-21T18:47:04.899376+00:00
18397,ADAPTADOR PARA SSD M.2 KP-HD850,,,2026-01-21T18:47:04.899376+00:00
18339,ADAPTADOR SWITCH HDMI 3ENT 1 SAI KP-3464,,,2026-01-21T18:47:04.899376+00:00
15666,ADAPTADOR USB CARPLAY SEM FIO IMS-247,,,2026-01-21T18:47:04.899376+00:00
14533,ADAPTADOR USB DUAL BAND 600MBPS 2.4GHZ,,,2026-01-21T18:47:04.899376+00:00
10333,ADAPTADOR USB TYPE C PARA HDMI 4K E 2K L,,,2026-01-21T18:47:04.899376+00:00
11849,ADAPTADOR WIRELESS ANTENA DESTACAVEIS 18,,,2026-01-21T18:47:04.899376+00:00
16465,ADAPTADOR WIRELESS USB 3.0 KP-AW162,,,2026-01-21T18:47:04.899376+00:00
11351,"ALCOOL ISOPROPANOL 99,8% 1000ML IMPLASTE",,,2026-01-21T18:47:04.899376+00:00
10258,"ALCOOL ISOPROPANOL 99,8% 110ML IMPLASTEC",,,2026-01-21T18:47:04.899376+00:00
16631,ALICATE CRIMPAR MULTIFUN RJ11/RJ12 SANTA,,,2026-01-21T18:47:04.899376+00:00
17635,ALICATE CRIMPAR RJ45/RJ11/RJ12 BOM-1713,,,2026-01-21T18:47:04.899376+00:00
14471,ALICATE DE RETENC?O INTERNA BOM-1614,,,2026-01-21T18:47:04.899376+00:00
17945,ALPHA-211 FECHADURA SMART FACIAL,,,2026-01-21T18:47:04.899376+00:00
14822,AMPERIMETRO DIGITAL ALICATE BOM-6004,,,2026-01-21T18:47:04.899376+00:00
14125,AMPERIMETRO DIGITAL MOD ALICATE BOM-6006,,,2026-01-21T18:47:04.899376+00:00
